2024-07-06T16:00:39-05:00
Running /Users/tnie/code/cpp/fftconv/build/clang-release/benchmark/bench_fftconv
Run on (8 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x8)
Load Average: 1.79, 3.82, 3.81
-----------------------------------------------------------------------------
Benchmark                                   Time             CPU   Iterations
BM_oaconvolve_same<float>/3326/65       13053 ns        12973 ns        53961
BM_oaconvolve_same<float>/4352/65       16198 ns        16078 ns        43556
BM_oaconvolve_same<float>/1000/95        5282 ns         5246 ns       132300
BM_oaconvolve_same<float>/1664/95        6895 ns         6853 ns       101579
BM_oaconvolve_same<float>/2304/95       10093 ns        10003 ns        70732
BM_oaconvolve_same<float>/2816/95       11486 ns        11448 ns        61159
BM_oaconvolve_same<float>/3326/95       13100 ns        13013 ns        53754
BM_oaconvolve_same<float>/4352/95       17714 ns        17604 ns        39794
BM_convolve<double>/1000/15              8987 ns         8931 ns        78335
BM_convolve<double>/1664/15             52868 ns        52695 ns        13166
BM_convolve<double>/2304/15             63261 ns        63096 ns        10985
BM_convolve<double>/2816/15             80788 ns        80561 ns         8638
BM_convolve<double>/3326/15            104631 ns       104297 ns         6713
BM_convolve<double>/4352/15            161710 ns       161147 ns         4356
BM_convolve<double>/1000/35             24306 ns        24227 ns        28958
BM_convolve<double>/1664/35             47739 ns        47595 ns        14742
BM_convolve<double>/2304/35             74937 ns        74532 ns         9514
BM_convolve<double>/2816/35             39832 ns        39699 ns        17606
BM_convolve<double>/3326/35             22347 ns        22270 ns        31463
BM_convolve<double>/4352/35            120595 ns       120275 ns         5821
BM_convolve<double>/1000/65             13277 ns        13234 ns        53027
BM_convolve<double>/1664/65             10595 ns        10563 ns        66821
BM_convolve<double>/2304/65             53891 ns        53774 ns        12949
BM_convolve<double>/2816/65             17816 ns        17771 ns        39463
BM_convolve<double>/3326/65             98147 ns        97870 ns         7144
BM_convolve<double>/4352/65             63979 ns        63792 ns        10928
BM_convolve<double>/1000/95             38148 ns        38048 ns        18417
BM_convolve<double>/1664/95             54420 ns        54071 ns        13099
BM_convolve<double>/2304/95             57496 ns        57347 ns        12144
BM_convolve<double>/2816/95             64997 ns        64828 ns        10756
BM_convolve<double>/3326/95             45067 ns        44938 ns        15600
BM_convolve<double>/4352/95             68207 ns        67984 ns        10277
BM_convolve<float>/1000/15               8102 ns         8077 ns        86072
BM_convolve<float>/1664/15              50802 ns        50672 ns        13752
BM_convolve<float>/2304/15              61711 ns        61524 ns        11343
BM_convolve<float>/2816/15              74806 ns        74542 ns         9351
BM_convolve<float>/3326/15              97213 ns        96903 ns         7212
BM_convolve<float>/4352/15             158821 ns       158353 ns         4422
BM_convolve<float>/1000/35              23585 ns        23521 ns        29797
BM_convolve<float>/1664/35              44242 ns        44092 ns        15638
BM_convolve<float>/2304/35              68731 ns        68524 ns        10169
BM_convolve<float>/2816/35              38550 ns        38400 ns        18221
BM_convolve<float>/3326/35              20725 ns        20590 ns        34058
BM_convolve<float>/4352/35             118382 ns       117835 ns         5842
BM_convolve<float>/1000/65              13452 ns        13178 ns        54506
BM_convolve<float>/1664/65               9719 ns         9654 ns        72543
BM_convolve<float>/2304/65              52526 ns        52357 ns        13317
BM_convolve<float>/2816/65              16508 ns        16381 ns        42759
BM_convolve<float>/3326/65              92376 ns        92091 ns         7587
BM_convolve<float>/4352/65              63463 ns        61999 ns        11379
BM_convolve<float>/1000/95              36474 ns        36293 ns        19630
BM_convolve<float>/1664/95              51413 ns        51288 ns        11626
BM_convolve<float>/2304/95              58027 ns        57897 ns        12036
BM_convolve<float>/2816/95              65964 ns        65765 ns        10601
BM_convolve<float>/3326/95              43422 ns        43282 ns        16191
BM_convolve<float>/4352/95              64847 ns        64695 ns        10782
BM_arma_conv<double>/1000/15             4488 ns         4477 ns       155527
BM_arma_conv<double>/1664/15             7467 ns         7434 ns        93524
BM_arma_conv<double>/2304/15            10238 ns        10202 ns        68333
BM_arma_conv<double>/2816/15            12480 ns        12436 ns        56233
BM_arma_conv<double>/3326/15            14732 ns        14690 ns        47669
BM_arma_conv<double>/4352/15            19603 ns        19504 ns        36355
BM_arma_conv<double>/1000/35             8958 ns         8784 ns        77252
BM_arma_conv<double>/1664/35            14698 ns        14647 ns        49328
BM_arma_conv<double>/2304/35            19334 ns        19269 ns        36454
BM_arma_conv<double>/2816/35            23904 ns        23833 ns        29934
BM_arma_conv<double>/3326/35            28093 ns        27983 ns        25345
BM_arma_conv<double>/4352/35            36763 ns        36619 ns        18532
